category,name,latitude,longitude,city,state,osm_url,matched_keyword,km_to_town,review
haunted,The Haunted Hotel,30.083183,-94.099344,Beaumont,TX,https://www.openstreetmap.org/way/542860725,,,
haunted,Haunted Museum & Voodoo Pharmacy,29.961754,-90.067069,New Orleans,LA,https://www.openstreetmap.org/node/6559071386,,1.1,
haunted,New Orleans Nightmare Haunted House,29.951386,-90.175612,Elmwood,LA,https://www.openstreetmap.org/node/11145766959,,1.5,
haunted,The Haunted Mansion,28.420849,-81.582905,Lake Buena Vista,FL,https://www.openstreetmap.org/way/41831418,,,
haunted,C. Green's Haunted History House & Museum,28.966959,-81.236614,Lake Helen,FL,https://www.openstreetmap.org/way/583546897,,1.6,
haunted,Penitentiary Avenue,32.72843,-114.615586,Yuma,AZ,https://www.openstreetmap.org/way/337523589,,0.9,
haunted,Old Post Sanitarium,33.19201,-101.38364,Post,TX,https://www.openstreetmap.org/node/12403562982,,0.4,
haunted,Site of The Odessa Sanitarium,31.84679,-102.36865,Odessa,TX,https://www.openstreetmap.org/node/12403576671,,0.2,
haunted,Penitentiary Hollow Overlook,32.821003,-98.026988,Mineral Wells,TX,https://www.openstreetmap.org/node/4740819550,,8.1,
haunted,Site of Sanitarium of Alonzo Orrin Scarborough (1860-1952) Pioneer Doctor,32.716,-100.91725,Snyder,TX,https://www.openstreetmap.org/node/12453536656,,0.2,
haunted,Snyder Sanitarium,32.23366,-97.756,Glen Rose,TX,https://www.openstreetmap.org/node/12453473996,,0.1,
haunted,State Penitentiary C.S.A. and Texas Civil War Manufacturing,30.72307,-95.54688,Huntsville,TX,https://www.openstreetmap.org/node/12454128116,,0.4,
haunted,Imminent Doom Haunted House,32.433016,-94.844413,Kilgore,TX,https://www.openstreetmap.org/node/12893715300,,,
haunted,Sweet Dreams Haunted Attraction,30.688622,-88.053745,Mobile,AL,https://www.openstreetmap.org/node/13565360401,,1.2,
haunted,Haunted Picnic Table 29,34.137186,-118.306787,Universal City,CA,https://www.openstreetmap.org/node/11608850025,,4.3,
haunted,Zak Bagan's The Haunted Museum,36.158381,-115.145638,Las Vegas,NV,https://www.openstreetmap.org/way/806953202,,,
haunted,Hex House,36.081984,-96.047931,Tulsa,OK,https://www.openstreetmap.org/node/13719806084,,,
haunted,The Fear Factory,36.425363,-89.056996,Union City,TN,https://www.openstreetmap.org/node/12165400492,,,
haunted,Backwoods Nightmare Haunted Woods,36.090734,-86.418779,Rural Hill,TN,https://www.openstreetmap.org/node/13858065959,,6.1,
haunted,Chaos Haunted House,33.624571,-85.10171,Carrollton,GA,https://www.openstreetmap.org/way/981710792,,5.5,
haunted,Ripley's Haunted Adventure,35.710543,-83.518941,Gatlinburg,TN,https://www.openstreetmap.org/way/1435782642,,,
haunted,Nightmare Haunted House,33.693626,-78.878382,Myrtle Beach,SC,https://www.openstreetmap.org/node/2722767216,,0.9,
haunted,Haunted Forest At Panic Point,36.028109,-78.459502,Youngsville,NC,https://www.openstreetmap.org/node/5390039038,,,
haunted,The Cryptozoology & Paranormal Museum,36.433169,-77.916204,South Rosemary,NC,https://www.openstreetmap.org/way/606784641,,19.7,
haunted,Nightmare Factory Haunted Attraction,34.884935,-76.915938,Havelock,NC,https://www.openstreetmap.org/way/616191563,,,
haunted,Grande Vista Sanitarium,37.949607,-122.308551,East Richmond Heights,CA,https://www.openstreetmap.org/node/2640323068,,0.7,
haunted,Haunted Washoe Club Museum,39.309319,-119.650222,Virginia City,NV,https://www.openstreetmap.org/node/4243505100,,,
haunted,Rebel Yell Haunted House,37.25026,-121.900745,Cambrian Park,CA,https://www.openstreetmap.org/way/863999850,,2.8,
haunted,Missouri State Penitentiary Tours,38.573749,-92.161798,Jefferson City,MO,https://www.openstreetmap.org/node/9694349988,,1.1,
haunted,Missouri State Penitentiary Museum,38.572044,-92.163583,Jefferson City,MO,https://www.openstreetmap.org/node/9694350011,,1.0,
haunted,Haunted Emmaus Asylum,38.643795,-90.99267,Marthasville,MO,https://www.openstreetmap.org/node/358066503,,5.9,
haunted,217 Terror Haunted House,39.485916,-90.372725,Roodhouse,IL,https://www.openstreetmap.org/node/13947549128,,,
haunted,Lemp Mansion,38.593173,-90.215771,Saint Louis,MO,https://www.openstreetmap.org/way/526334314,,,
haunted,Trans-Allegheny Lunatic Asylum,39.038246,-80.471814,Weston,WV,https://www.openstreetmap.org/way/374509925,,,
haunted,Total Terror Haunted Attraction,37.552275,-77.929225,Powhatan,VA,https://www.openstreetmap.org/node/9162517779,,,
haunted,Haunted Hollow,38.693255,-77.778469,Warrenton,VA,https://www.openstreetmap.org/node/9597842952,,,
haunted,Haunted Tales,39.356755,-74.427196,Atlantic City,NJ,https://www.openstreetmap.org/way/539916275,,0.9,
haunted,White Horse Inn;White Horse Inn & Bar,41.998436,-117.719895,McDermitt,NV,https://www.openstreetmap.org/way/1121464184,,,
